,img_name,label
0,n02085620-Chihuahua/n02085620_10074.jpg,1
1,n02085620-Chihuahua/n02085620_10131.jpg,1
2,n02085620-Chihuahua/n02085620_10621.jpg,1
3,n02085620-Chihuahua/n02085620_1073.jpg,1
4,n02085620-Chihuahua/n02085620_10976.jpg,1
5,n02085620-Chihuahua/n02085620_11140.jpg,1
6,n02085620-Chihuahua/n02085620_11238.jpg,1
7,n02085620-Chihuahua/n02085620_11258.jpg,1
8,n02085620-Chihuahua/n02085620_11337.jpg,1
9,n02085620-Chihuahua/n02085620_11477.jpg,1
10,n02085620-Chihuahua/n02085620_1152.jpg,1
11,n02085620-Chihuahua/n02085620_11696.jpg,1
12,n02085620-Chihuahua/n02085620_11818.jpg,1
13,n02085620-Chihuahua/n02085620_11948.jpg,1
14,n02085620-Chihuahua/n02085620_1205.jpg,1
15,n02085620-Chihuahua/n02085620_12101.jpg,1
16,n02085620-Chihuahua/n02085620_12334.jpg,1
17,n02085620-Chihuahua/n02085620_1235.jpg,1
18,n02085620-Chihuahua/n02085620_1271.jpg,1
19,n02085620-Chihuahua/n02085620_12718.jpg,1
20,n02085620-Chihuahua/n02085620_1298.jpg,1
21,n02085620-Chihuahua/n02085620_13151.jpg,1
22,n02085620-Chihuahua/n02085620_1321.jpg,1
23,n02085620-Chihuahua/n02085620_13383.jpg,1
24,n02085620-Chihuahua/n02085620_1346.jpg,1
25,n02085620-Chihuahua/n02085620_13964.jpg,1
26,n02085620-Chihuahua/n02085620_14252.jpg,1
27,n02085620-Chihuahua/n02085620_14413.jpg,1
28,n02085620-Chihuahua/n02085620_14516.jpg,1
29,n02085620-Chihuahua/n02085620_1455.jpg,1
30,n02085620-Chihuahua/n02085620_1492.jpg,1
31,n02085620-Chihuahua/n02085620_1502.jpg,1
32,n02085620-Chihuahua/n02085620_1558.jpg,1
33,n02085620-Chihuahua/n02085620_1569.jpg,1
34,n02085620-Chihuahua/n02085620_1617.jpg,1
35,n02085620-Chihuahua/n02085620_1620.jpg,1
36,n02085620-Chihuahua/n02085620_1765.jpg,1
37,n02085620-Chihuahua/n02085620_1816.jpg,1
38,n02085620-Chihuahua/n02085620_1862.jpg,1
39,n02085620-Chihuahua/n02085620_1916.jpg,1
40,n02085620-Chihuahua/n02085620_199.jpg,1
41,n02085620-Chihuahua/n02085620_2053.jpg,1
42,n02085620-Chihuahua/n02085620_2188.jpg,1
43,n02085620-Chihuahua/n02085620_2204.jpg,1
44,n02085620-Chihuahua/n02085620_2208.jpg,1
45,n02085620-Chihuahua/n02085620_242.jpg,1
46,n02085620-Chihuahua/n02085620_2479.jpg,1
47,n02085620-Chihuahua/n02085620_2507.jpg,1
48,n02085620-Chihuahua/n02085620_2517.jpg,1
49,n02085620-Chihuahua/n02085620_2590.jpg,1
50,n02085620-Chihuahua/n02085620_2614.jpg,1
51,n02085620-Chihuahua/n02085620_2650.jpg,1
52,n02085620-Chihuahua/n02085620_2693.jpg,1
53,n02085620-Chihuahua/n02085620_2706.jpg,1
54,n02085620-Chihuahua/n02085620_275.jpg,1
55,n02085620-Chihuahua/n02085620_2793.jpg,1
56,n02085620-Chihuahua/n02085620_2815.jpg,1
57,n02085620-Chihuahua/n02085620_2887.jpg,1
